haul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
14,,,,,2,,,,,,,,,,,,,,
14.5,,,,,5,,,,,,,,,,,,,,
15,,,,,17,,,,,,,,,,,,,,
15.5,,,,,4,,,,,,,,,,,,,,
16,,,,,27,,,,,,,,5,,,1,9,,
16.5,,,,,31,,,,,,,,27,1,,13,40,,
17,,1,,,30,,,,,,,,76,,,17,43,2,1
17.5,,,,,12,,,,,,,,94,,,40,13,3,
18,,1,,,8,,,,,1,,1,88,,,31,5,1,
18.5,,,,,4,,,,,2,,6,54,,,32,1,,
19,,1,1,,1,2,,,,1,,15,54,,,35,,,
19.5,1,1,4,,2,3,1,2,,1,,13,31,1,,22,,,
20,9,4,12,4,1,8,2,2,,8,1,28,12,,,31,,,
20.5,11,6,5,11,,18,5,13,,15,,20,3,,,7,,,
21,22,7,31,19,,17,8,40,3,15,1,15,,1,,7,,,
21.5,19,2,27,25,,18,5,44,4,20,1,11,,1,,3,,,
22,25,16,25,22,,8,7,39,1,23,2,15,,2,,,,,
22.5,24,16,21,23,,11,9,25,1,20,,14,,,,1,,,
23,28,12,9,11,,15,19,23,7,21,4,21,,1,,,,,
23.5,18,17,13,7,,18,24,20,16,25,12,18,,,,,,,
24,34,21,20,15,,22,24,13,14,23,13,19,,3,,,,,
24.5,40,26,12,13,,15,23,11,15,30,20,18,,3,,1,,,
25,32,19,15,14,,26,40,13,20,24,28,19,,7,,2,,2,
25.5,27,29,17,14,,39,23,11,15,6,31,14,,7,,2,,,
26,26,21,11,8,,30,29,4,11,12,20,9,,7,,3,,,
26.5,11,15,6,3,,11,17,6,16,4,23,11,,4,,1,,1,
27,4,13,7,2,,16,8,2,17,3,7,4,,2,,,,,
27.5,6,15,1,3,,8,7,1,7,1,6,1,,1,,,,,
28,3,6,1,2,,2,4,,10,,3,2,,1,,,,,
28.5,1,3,1,1,,2,,,6,1,6,1,1,,,,,,
29,1,4,1,1,,,1,,8,1,1,,,,,,,,
29.5,,5,,,,1,,,3,,5,,,,,,,,
30,,3,,,,1,,,6,,2,,,,,,,,
30.5,,3,,,,,,,1,,,,,,,,,,
31,,1,,,,,,,1,,1,,,,,,,,
