haul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
14,,,,,,,,,,,,,,,,,,,,
14.5,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
15.5,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
16.5,,,,,,,,,,,,,,,,,4,,,
17,,,,,,,,,,,,,,,,,4,1,,
17.5,,,,,,,,1,,,,,,,,,4,2,,
18,,,,,,,,1,,,,,,,,,11,2,,
18.5,,,,,,,,,,,,,,,,,20,8,,1
19,,,3,,,,,,,,,,,,,1,37,12,,5
19.5,,,1,,,,,2,,,,,,,,1,32,28,,4
20,,,,2,,,,2,,,,,,,,,57,66,,8
20.5,,,,1,,,2,1,,,,,,,,4,49,51,,5
21,,,3,,,,1,2,1,,,,,,,7,59,51,,3
21.5,,,5,,,,1,3,4,,,,,,,8,9,25,,1
22,,,7,2,,,4,8,2,,,,,,,16,17,7,,
22.5,1,,7,5,,,3,7,11,,,,,,,9,5,1,,
23,,1,10,8,,,5,6,21,,,,,,,12,4,3,,
23.5,5,,7,9,,,5,6,17,,,,,,,6,,1,,
24,5,1,5,10,,,3,9,25,,,,,,,13,,1,,
24.5,4,,6,12,,,16,9,30,,,,,,,7,,,,
25,10,6,13,16,,,23,41,27,,,,,,,9,,,,
25.5,16,7,16,19,,,32,35,25,,,,,,,13,,,,
26,34,29,12,22,,,34,50,31,,,,,,,22,,,,
26.5,32,29,13,30,,,31,45,21,,,,,,,22,,,,
27,43,58,17,42,,,39,43,18,,,,,,,21,,,,
27.5,46,45,21,71,,,50,40,7,,,,,,,8,1,,,
28,49,59,13,49,,,44,41,6,,,,,,,16,,,,
28.5,53,41,20,50,,,24,36,1,,,,,,,12,,,,
29,45,41,17,24,,,28,30,4,,,,,,,10,,,,
29.5,28,28,15,12,,,14,10,3,,,,,,,8,,,,
30,13,21,3,8,,,8,11,,,,,,,,5,,,,
30.5,1,5,,6,,,2,2,,,,,,,,1,,,,
31,,1,2,2,,,,1,,,,,,,,1,,,,
31.5,1,2,,,,,1,1,,,,,,,,,,,,
32,,1,,,,,1,,,,,,,,,,,,,
32.5,,,,,,,,,,,,,,,,,,,,
